ppm intensity peak
0.412864211 0.024345754 1
0.413413964 -0.004859937 1
0.413963716 0.010567674 1
0.414513469 0.016133769 1
0.415063222 0.028861599 1
0.415612974 0.035187783 1
0.416162727 0.046953798 1
0.416712479 -0.002691266 1
0.417262232 0.026861964 1
0.417811985 0.020061003 1
0.418361737 0.044509423 1
0.41891149 0.039475892 1
0.419461242 0.032049412 1
0.420010995 0.033312951 1
0.420560748 0.025402819 1
0.4211105 0.0537517 1
0.421660253 0.057794648 1
0.422210005 0.0351607 1
0.422759758 0.0351607 1
0.423309511 0.038190942 1
0.423859263 0.040445122 1
0.424409016 0.024339324 1
0.424958769 0.042407482 1
0.425508521 0.034434992 1
0.426058274 -0.006731515 1
0.426608026 0.025583632 1
0.427157779 0.025583632 1
0.427707532 0.014464471 1
0.428257284 0.013851949 1
0.428807037 0.019199122 1
0.429356789 0.025741055 1
0.429906542 0.04467249 1
0.430456295 0.028979028 1
0.431006047 0.012205573 1
0.4315558 0.012205573 1
0.432105553 0.012205573 1
0.432655305 0.012205573 1
0.433205058 0.030116912 1
0.43375481 0.010988594 1
0.434304563 -0.00345048 1
0.434854316 -0.020929208 1
0.435404068 -0.010349961 1
0.435953821 -0.010349961 1
0.436503573 0.010757831 1
0.437053326 0.019018498 1
0.437603079 0.000288747 1
0.438152831 -0.00366654 1
0.438702584 0.030863881 1
0.439252336 0.00748396 1
0.439802089 -0.000558831 1
0.440351842 0.006654926 1
0.440901594 -0.001019378 1
0.441451347 0.009860518 1
0.4420011 0.032299848 1
0.442550852 0.027216031 1
0.443100605 -0.018120002 1
0.443650357 -0.003149684 1
0.44420011 -0.001320355 1
0.444749863 0.013926099 1
0.445299615 0.022994015 1
0.445849368 0.019271147 1
0.44639912 0.011754641 1
0.446948873 0.008061247 1
0.447498626 0.013408107 1
0.448048378 0.003953925 1
0.448598131 0.012930069 1
0.449147883 0.011625255 1
0.449697636 0.024080366 1
0.450247389 0.03836417 1
0.450797141 0.024992572 1
0.451346894 0.003615418 1
