ppm default intensity1 intensity2
7.573941726 0.230617865 0.497245726117126 0.363931795558563
7.574491479 0.207703402 0.447838804441657 0.327771103220828
7.625068719 0.154473024 2.31134134333333 1.23290718366667
7.625618472 0.189859368 2.8408183857237 1.51533887686185
7.626168224 0.239646491 3.585770693743 1.9127085923715
7.626717977 0.300709699 4.49944425014961 2.4000769745748
7.62726773 0.424996664 6.35911911895986 3.39205789147993
7.627817482 0.761896622 11.4000691912046 6.0809829066023
7.628367235 1.278392001 14.9156101797445 7.95622982837223
7.628916987 1.172412312 17.5425131067455 9.35746270937277
7.62946674 0.996849477 19.1282607693232 10.2033263851616
7.630016493 1.547558746 23.1557356633796 12.3516472046898
7.630566245 2.366783612 35.4135930758978 18.8901883439489
7.631115998 1.802712933 3.95958125233333 2.88114709266667
7.63166575 1.4379689715 3.15843686299689 2.29820291724845
7.632215503 1.39394775775 3.06174616450649 2.22784696112824
7.632765256 1.349926544 2.96505546601608 2.15749100500804
7.633315008 0.893226596 1.96193371604725 1.42758015602362
7.633864761 0.449987371 0.988377863930466 0.719182617465233
7.634414513 0.286449992 0.62917506015043 0.457812526075215
7.634964266 0.219591534 0.482323339052407 0.350957436526203
7.635514019 0.214085452 0.470229467276201 0.342157459638101
7.636063771 0.234276786 2.39114510533333 1.31271094566667
7.636613524 0.270398151 2.69912659499791 1.48178921349895
7.637163277 0.28076279 2.75981767674939 1.51510791387469
7.637713029 0.264451832 2.81945422332263 1.54784768666131
7.638262782 0.27624115 2.86560432440041 1.57318355720021
7.638812534 0.426794352 4.35607489411568 2.39143462305784
7.639362287 0.71751384 7.32330221793688 4.02040802896844
7.63991204 1.138350724 10.925313014135 5.99787020306751
7.640461792 1.137718822 11.6121227327701 6.37492077738503
7.641011545 1.070427392 11.6185722380759 6.37846148103796
7.641561297 1.501921257 15.3293534694113 8.41563736320567
7.64211105 2.134198175 21.7826853743955 11.9584417746977
7.642660803 2.946406333 30.0724847807844 16.5094455568922
7.643210555 3.235302479 33.0211021715726 18.1282023252863
7.643760308 2.377661777 4.53453009633333 3.45609593666667
7.64431006 1.660137758 3.16611248098066 2.41312511949033
7.644859813 0.958776106 1.82851873649911 1.39364742124956
7.645409566 0.753855514 1.73719992421068 1.32404669760534
7.645959318 0.910893471 1.46890507945203 1.11955963872602
7.646509071 0.770214198 1.43770680489004 1.09578115944502
7.647058824 0.397568386 0.758217938777786 0.577893162388893
7.647608576 0.23723302 0.452436204106101 0.344834612053051
7.648158329 0.192050155 0.431930186600686 0.329205481300343
7.648708081 0.226480776 0.42364576806984 0.32289132203492
7.649257834 0.222136876 0.366266226877643 0.279158190938821
7.649807587 0.188973901 0.360399384721242 0.274686642860621
7.82517867 0.587646993 5.14991275433333 2.83568997766667
7.825728422 0.521467201 5.39839844012573 2.97251333806287
7.826278175 0.546628236 5.80349202882336 3.19556951091168
7.826827927 0.754257166 7.44890300249337 4.10158008424669
7.82737768 0.938321251 9.26668555360764 5.10250340230382
7.827927433 1.041214538 10.2828404527852 5.66202749539262
7.828477185 1.578288977 15.5868873767883 8.58258817689413
7.829026938 2.352131046 23.2292072261296 12.7906691360648
7.82957669 3.378528694 33.3657188385885 18.3721237662943
